id,Season,city,Date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,Team_win_id,venue,umpire1,umpire2,umpire3
134,IPL-2009,Durban,2009-04-29 00:00:00,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,0,5,MV Boucher,13,Kingsmead,MR Benson,TH Wijewardene,""
139,IPL-2009,Durban,2009-05-01 00:00:00,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,8,0,Yuvraj Singh,13,Kingsmead,HDPK Dharmasena,S Ravi,""
146,IPL-2009,Durban,2009-05-05 00:00:00,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,9,G Gambhir,4,Kingsmead,GAV Baxter,IL Howell,""
145,IPL-2009,Durban,2009-05-05 00:00:00,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,78,0,GC Smith,11,Kingsmead,SS Hazare,IL Howell,""
158,IPL-2009,Durban,2009-05-13 00:00:00,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Daredevils,12,0,R Bhatia,4,Kingsmead,DJ Harper,SL Shastri,""
159,IPL-2009,Durban,2009-05-14 00:00:00,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,2,LRPL Taylor,13,Kingsmead,BR Doctrove,DJ Harper,""
160,IPL-2009,Durban,2009-05-14 00:00:00,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,SK Warne,11,Kingsmead,BR Doctrove,DJ Harper,""
169,IPL-2009,Durban,2009-05-20 00:00:00,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,M Muralitharan,1,Kingsmead,BG Jerling,SJA Taufel,""
168,IPL-2009,Durban,2009-05-20 00:00:00,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,LR Shukla,8,Kingsmead,BG Jerling,SJA Taufel,""
138,IPL-2009,East London,2009-05-01 00:00:00,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,9,0,JP Duminy,9,Buffalo Park,M Erasmus,SK Tarapore,""
144,IPL-2009,East London,2009-05-04 00:00:00,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,78,0,MS Dhoni,1,Buffalo Park,BR Doctrove,M Erasmus,""
150,IPL-2009,East London,2009-05-08 00:00:00,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,7,A Nehra,4,Buffalo Park,M Erasmus,SK Tarapore,""
141,IPL-2009,Johannesburg,2009-05-02 00:00:00,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,18,0,SB Jakati,1,New Wanderers Stadium,DJ Harper,RE Koertzen,""
